0.089430,	-0.003389,	-11.226461,	-10.307781,	-0.954849,	-9.357043,	
-2.490981,	-0.003566,	-2.754136,	-3.671033,	-4.135851,	-6.953031,	
-0.236121,	-0.009551,	-10.001964,	-10.334246,	0.064892,	-10.397480,	
-1.548917,	-0.006318,	-1.021789,	-8.339483,	-0.393493,	-8.328389,	
0.178364,	-0.006650,	4.386104,	-4.895608,	8.897072,	-13.640839,	
1.445479,	-0.004631,	-1.707904,	-8.419132,	-0.349681,	-8.377032,	
-0.213782,	-0.003923,	-7.202769,	-9.983830,	2.455458,	-12.385416,	
0.408666,	-0.010054,	7.896100,	-2.830358,	8.994931,	-11.048217,	
0.597746,	-0.004880,	-9.910189,	-9.843631,	-1.362712,	-8.720961,	
1.814289,	-0.003405,	8.311397,	-5.782014,	3.555324,	-4.913103,	
0.646929,	-0.003390,	-11.136923,	-9.471215,	-2.633529,	-7.375213,	
-0.468092,	-0.006833,	7.459867,	-3.425343,	8.786661,	-11.293733,	
0.226924,	-0.002768,	-13.593464,	-9.307670,	-4.306984,	-5.113801,	
-1.738965,	-0.000111,	8.126648,	-6.022443,	3.610147,	-5.418582,	
2.316346,	-0.002977,	-1.541561,	-5.039772,	-3.234841,	-7.241275,	
-1.125034,	-0.002253,	11.782928,	-1.206045,	6.789702,	-4.147196,	
2.814906,	-0.002011,	3.136509,	-5.294262,	-1.707402,	-6.912459,	
0.624587,	-0.002486,	-13.099207,	-8.454715,	-4.651477,	-4.688188,	
-2.502550,	-0.005020,	4.588406,	-6.147294,	-0.240609,	-6.339699,	
2.608829,	-0.003619,	5.608137,	-5.815821,	0.468348,	-5.411524,	
-0.528559,	-0.003183,	-0.742164,	-8.320084,	5.158307,	-12.782717,	
-1.203558,	-0.000504,	4.402882,	-7.456877,	3.786548,	-8.818176,	
1.545889,	-0.005333,	2.067977,	-8.014730,	1.112638,	-8.036507,	
1.417742,	-0.001646,	9.549805,	-4.535231,	5.175802,	-5.315899,	
-1.320268,	-0.003001,	0.160407,	-8.724061,	1.212433,	-9.028165,	
0.092053,	-0.013132,	3.711200,	-5.248173,	8.833000,	-14.032354,	
1.256919,	-0.002517,	-0.245498,	-8.659083,	1.262887,	-9.045973,	
-0.552237,	-0.006352,	-3.249875,	-9.223218,	3.649279,	-12.342140,	
3.062595,	-0.000675,	-4.168733,	-1.125886,	-5.258973,	-6.368737,	
2.962470,	-0.005759,	1.148067,	-4.550876,	-3.238236,	-7.740571,	
-0.306318,	-0.000787,	-14.646141,	-7.642708,	-6.746922,	-1.208256,	
